district,neighborhood,condition,type,rooms,area_m2,lift,views,floor,prices
9,14,0,2,3,128,1,0,11,749000
4,8,0,2,4,225,1,0,0,1350000
1,35,0,2,3,158,1,0,11,599000
9,14,0,2,2,102,1,0,11,595000
1,45,0,2,3,173,1,0,11,1600000
1,45,0,2,4,136,1,0,19,745000
1,45,0,2,6,235,1,0,11,1220000
0,43,0,2,3,76,0,0,10,395000
1,45,0,2,3,122,1,0,0,620000
8,18,0,2,3,78,1,0,10,390000
7,59,0,2,3,79,0,0,0,150000
0,41,0,2,3,108,0,0,7,298000
9,14,0,2,3,109,1,0,0,380000
7,37,0,2,3,73,1,0,18,283000
5,63,0,2,3,105,0,0,0,240000
1,45,0,2,4,154,1,0,10,590000
2,29,0,2,2,65,1,1,11,290000
3,25,0,2,3,122,1,0,10,450000
5,52,0,4,2,60,1,0,11,254900
1,53,0,2,4,87,1,0,11,354000
9,15,0,2,3,116,1,0,19,845000
9,14,0,2,4,240,1,0,13,960000
4,62,0,2,4,96,1,0,11,385000
3,36,0,2,3,88,1,0,0,340000
7,32,0,4,3,114,1,0,12,465000
9,14,0,2,5,152,1,0,11,750000
7,10,0,1,2,107,1,0,18,698000
9,20,0,2,3,148,1,0,7,1300000
1,12,0,2,3,140,1,0,15,635000
5,24,0,4,2,42,1,0,13,192100
9,14,0,2,4,180,1,0,0,1095000
3,25,0,2,3,87,1,0,12,625000
9,20,0,2,4,139,1,0,10,1100000
9,64,0,4,4,365,1,0,12,2150000
2,21,0,4,2,80,1,0,11,429000
7,39,0,4,2,93,0,0,7,455000
5,24,0,4,3,125,1,0,12,460000
1,51,0,4,5,155,1,0,16,890000
0,26,0,2,3,134,1,0,0,790000
1,51,0,2,2,112,1,0,19,550000
4,62,0,2,4,95,1,0,15,560000
6,11,0,7,3,75,0,0,17,298000
1,42,0,2,1,52,1,0,12,370000
4,62,0,2,2,105,1,0,18,573000
4,62,0,2,3,76,1,0,10,339500
4,50,0,2,4,101,1,1,10,437500
1,45,0,2,3,146,1,0,0,1430000
1,45,0,2,3,169,1,0,13,1650000
8,18,0,2,2,82,1,0,10,379000
1,53,0,2,4,84,1,0,11,320000
0,17,0,2,2,74,0,0,7,315000
1,42,0,2,3,75,1,0,7,540000
1,12,0,2,4,136,1,0,11,820000
9,40,0,2,4,130,1,0,0,720000
9,20,0,2,3,126,1,0,0,790000
8,18,0,2,3,93,1,0,15,405000
9,40,0,3,5,311,0,0,17,990000
7,39,0,2,3,90,1,1,18,330000
1,51,0,2,3,93,1,0,15,415000
7,10,0,2,4,91,1,0,12,260000
8,18,0,2,4,86,1,0,0,320000
7,59,0,2,4,81,1,0,13,270000
0,41,0,4,2,63,1,0,12,349000
9,14,0,2,3,104,1,0,7,660000
4,8,0,3,9,605,0,0,17,4500000
4,8,0,3,7,900,0,0,17,10000000
9,64,0,3,2,224,0,0,17,2750000
2,29,0,3,3,134,0,0,17,780000
3,56,0,3,3,79,0,0,17,199520
4,8,0,3,5,340,0,0,17,2060000
9,40,0,3,5,248,0,0,17,1950000
9,15,0,3,6,474,0,0,17,2350000
5,57,0,2,3,104,0,0,10,176000
1,35,0,2,3,78,1,0,7,499000
2,29,0,2,3,97,1,0,12,339000
4,8,0,3,4,185,0,0,17,860000
9,40,0,2,4,107,1,0,11,460000
2,61,0,2,2,65,1,0,7,245000
4,50,0,2,4,101,1,0,10,437000
3,36,0,2,1,56,1,1,11,169000
9,40,0,2,2,70,1,0,0,385000
7,32,0,4,3,99,1,0,16,430000
9,15,0,2,3,125,1,0,0,590000
1,35,0,2,1,77,1,0,19,350000
9,14,0,2,3,120,1,0,7,1200000
0,41,0,2,3,117,1,0,7,540000
9,15,0,2,5,242,1,0,12,980000
9,14,0,2,4,180,1,0,11,860000
9,15,0,4,3,151,1,0,14,690000
9,40,0,4,2,151,1,0,14,690000
1,45,0,2,2,100,1,0,11,640000
1,45,0,4,3,95,1,0,13,790000
0,26,0,2,3,145,0,0,7,560000
2,21,0,4,2,108,1,0,10,530000
4,62,0,2,2,82,1,0,11,862000
4,62,0,2,2,98,1,0,7,595000
1,45,0,2,2,125,1,1,19,890000
4,62,0,2,2,67,1,0,7,365000
1,51,0,4,4,118,1,0,15,650000
0,17,0,2,4,140,1,0,19,795000
1,42,0,2,4,85,1,0,7,420000
9,14,0,2,5,200,1,0,7,1400000
8,18,0,2,3,88,1,0,11,365000
1,42,0,2,2,139,1,0,7,595000
8,49,0,4,2,59,1,0,16,255000
1,12,0,2,1,46,1,1,18,165000
