district,neighborhood,condition,type,rooms,area_m2,lift,views,floor,prices
Sant Martí,el Clot,good condition,Flat,4,93,Yes,exterior, floor 6,340000
Eixample,Sant Antoni,good condition,Flat,4,140,Yes,exterior, floor 5,495000
Sant Martí,el Camp de l'Arpa del Clot,good condition,Flat,4,102,Yes,exterior, floor 3,345000
Ciutat Vella,el Barri Gòtic,good condition,Flat,3,174,Yes,exterior, floor 1,950000
Sants-Montjuïc,la Bordeta,good condition,Detached,4,239,No,exterior,Multiple,690000
Eixample,la Dreta de l'Eixample,good condition,Penthouse,3,153,Yes,exterior, floor 9,1495000
Ciutat Vella,el Barri Gòtic,good condition,Flat,3,144,Yes,exterior, floor 1,650000
Eixample,l'Antiga Esquerra de l'Eixample,good condition,Flat,4,124,Yes,exterior, floor 3,530000
Sarrià-Sant Gervasi,Sant Gervasi - Galvany,good condition,Flat,3,115,Yes,exterior, floor 2,660000
Eixample,la Dreta de l'Eixample,good condition,Flat,3,131,Yes,exterior, floor 6,560000
Eixample,la Dreta de l'Eixample,good condition,Duplex,2,100,Yes,exterior, floor 5,800000
Eixample,la Dreta de l'Eixample,good condition,Flat,3,115,Yes,exterior, floor 3,990000
Sarrià-Sant Gervasi,Sant Gervasi - Galvany,good condition,Flat,5,277,Yes,exterior, floor 5,1900000
Gràcia,el Camp d'en Grassot i Gràcia Nova,good condition,Flat,3,104,Yes,exterior, floor 1,470000
Sant Martí,el Poblenou,good condition,Flat,2,71,Yes,interior, floor 2,370000
Sants-Montjuïc,el Poble Sec - AEI Parc de Montjuïc,good condition,Flat,4,228,Yes,interior,ground floor,650000
Sarrià-Sant Gervasi,Sant Gervasi - Galvany,good condition,Flat,3,160,Yes,exterior, floor 7,880000
Sarrià-Sant Gervasi,Sarrià,good condition,House,5,380,No,exterior,Multiple,1750000
Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,good condition,Detached,6,585,No,exterior,Multiple,2350000
Eixample,la Dreta de l'Eixample,good condition,Flat,7,271,Yes,exterior, floor 1,1800000
Eixample,l'Antiga Esquerra de l'Eixample,good condition,Flat,2,82,Yes,exterior, floor 3,380000
Eixample,la Dreta de l'Eixample,good condition,Flat,3,175,Yes,exterior, floor 4,1600000
Ciutat Vella,el Barri Gòtic,good condition,Flat,2,84,Yes,exterior, floor 3,475000
Eixample,l'Antiga Esquerra de l'Eixample,good condition,Flat,1,63,Yes,exterior, floor 1,335000
Eixample,la Dreta de l'Eixample,good condition,Penthouse,4,189,Yes,exterior, floor 7,1175000
Sarrià-Sant Gervasi,Sant Gervasi - Galvany,good condition,Flat,3,150,Yes,exterior,ground floor,780000
Horta-Guinardó,el Carmel,good condition,Flat,3,50,Yes,exterior,mezzanine,135000
Les Corts,la Maternitat i Sant Ramon,good condition,Penthouse,3,130,Yes,exterior, floor 9,530000
Eixample,la Dreta de l'Eixample,good condition,Duplex,3,223,Yes,exterior, floor 8,1995000
Eixample,la Dreta de l'Eixample,good condition,Duplex,3,153,Yes,exterior, floor 8,1495000
