district,neighborhood,condition,type,rooms,area_m2,lift,views,floor,prices
Nou Barris,Porta,good condition,Flat,2,71,No,exterior, floor 1,245000
Ciutat Vella,el Raval,good condition,Flat,2,76,No,interior, floor 2,200000
Sant Martí,el Poblenou,good condition,Flat,2,82,Yes,exterior, floor 3,398000
Sants-Montjuïc,Sants - Badal,good condition,Flat,1,33,Yes,exterior,ground floor,129000
Gràcia,la Vila de Gràcia,good condition,Flat,3,60,No,exterior, floor 1,310000
Les Corts,Pedralbes,good condition,House,5,600,No,exterior,Multiple,3990000
Ciutat Vella,el Raval,good condition,Flat,3,86,Yes,exterior, floor 1,349000
Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,good condition,Flat,3,160,Yes,exterior,ground floor,845000
Eixample,l'Antiga Esquerra de l'Eixample,good condition,Flat,3,122,Yes,exterior,mezzanine,570000
Ciutat Vella,Sant Pere - Santa Caterina i la Ribera,good condition,Flat,3,86,No,exterior, floor 1,270000
Nou Barris,la Prosperitat,good condition,Flat,3,62,No,exterior, floor 1,139000
Nou Barris,Canyelles,good condition,Flat,3,96,Yes,exterior, floor 12,215000
Sants-Montjuïc,Sants - Badal,good condition,Flat,3,120,Yes,exterior, floor 6,463000
Sants-Montjuïc,Sants,good condition,Flat,3,150,No,exterior,ground floor,239000
Ciutat Vella,la Barceloneta,good condition,Flat,3,56,No,exterior, floor 3,283000
Sants-Montjuïc,el Poble Sec - AEI Parc de Montjuïc,good condition,Flat,4,81,Yes,exterior, floor 4,405000
Eixample,la Nova Esquerra de l'Eixample,good condition,Flat,4,113,Yes,exterior, floor 5,425000
Ciutat Vella,el Raval,good condition,Flat,3,83,Yes,exterior, floor 3,320000
Gràcia,el Camp d'en Grassot i Gràcia Nova,good condition,Flat,4,116,Yes,exterior, floor 3,349000
Nou Barris,Vilapicina i la Torre Llobeta,good condition,Flat,3,83,Yes,exterior, floor 3,418200
Sants-Montjuïc,la Marina de Port,good condition,Flat,3,101,No,exterior, floor 3,260000
Eixample,la Sagrada Família,good condition,Flat,4,123,Yes,exterior, floor 7,439000
Les Corts,les Corts,good condition,Flat,2,185,Yes,exterior, floor 5,1600000
Sant Andreu,el Congrés i els Indians,good condition,Flat,3,73,Yes,exterior, floor 3,206000
Eixample,la Nova Esquerra de l'Eixample,good condition,Flat,4,98,Yes,exterior, floor 1,360000
Ciutat Vella,el Raval,good condition,Flat,3,80,No,exterior, floor 2,250000
Ciutat Vella,Sant Pere - Santa Caterina i la Ribera,good condition,Flat,2,63,No,exterior,mezzanine,240000
Eixample,la Dreta de l'Eixample,good condition,Flat,3,114,Yes,exterior,mezzanine,1650000
Eixample,la Dreta de l'Eixample,good condition,Flat,3,217,Yes,exterior, floor 3,2290000
Eixample,la Nova Esquerra de l'Eixample,good condition,Flat,2,72,Yes,exterior, floor 1,360000
Les Corts,les Corts,good condition,Flat,4,95,Yes,exterior, floor 7,560000
Les Corts,les Corts,good condition,Flat,4,91,Yes,exterior, floor 2,525000
Eixample,la Dreta de l'Eixample,good condition,Flat,4,225,Yes,exterior, floor 2,1975000
Gràcia,la Salut,good condition,Flat,4,122,Yes,exterior, floor 5,595000
Eixample,l'Antiga Esquerra de l'Eixample,good condition,Penthouse,3,90,Yes,exterior, floor 5,1430000
Sarrià-Sant Gervasi,Sant Gervasi - Galvany,good condition,Flat,6,274,Yes,exterior, floor 2,1190000
Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,good condition,Flat,6,492,Yes,exterior, floor 1,4000000
Eixample,la Dreta de l'Eixample,good condition,Penthouse,1,126,Yes,exterior, floor 6,850000
Sant Martí,el Parc i la Llacuna del Poblenou,good condition,Flat,2,62,Yes,exterior, floor 1,390000
Eixample,la Dreta de l'Eixample,good condition,Flat,6,237,Yes,exterior,mezzanine,1800000
Eixample,la Dreta de l'Eixample,good condition,Flat,3,200,Yes,exterior, floor 5,1950000
Eixample,l'Antiga Esquerra de l'Eixample,good condition,Flat,3,134,Yes,exterior, floor 3,890000
Eixample,la Dreta de l'Eixample,good condition,Flat,7,259,Yes,exterior, floor 6,2450000
Eixample,la Dreta de l'Eixample,good condition,Flat,4,475,Yes,exterior, floor 3,5000000
Sants-Montjuïc,la Bordeta,good condition,Flat,4,115,Yes,exterior, floor 5,540000
Sarrià-Sant Gervasi,el Putxet i el Farró,good condition,Flat,6,257,Yes,exterior, floor 6,1250000
Ciutat Vella,Sant Pere - Santa Caterina i la Ribera,good condition,Flat,4,269,Yes,exterior,mezzanine,1290000
Eixample,la Dreta de l'Eixample,good condition,Flat,3,120,Yes,exterior, floor 2,660000
Eixample,la Sagrada Família,good condition,Flat,3,94,Yes,exterior, floor 2,439000
Eixample,Sant Antoni,good condition,Flat,3,120,Yes,exterior,mezzanine,650000
Eixample,la Dreta de l'Eixample,good condition,Flat,2,74,Yes,exterior,mezzanine,363400
Ciutat Vella,Sant Pere - Santa Caterina i la Ribera,good condition,Flat,2,129,Yes,exterior,mezzanine,840000
Ciutat Vella,Sant Pere - Santa Caterina i la Ribera,good condition,Flat,2,93,Yes,exterior, floor 1,720000
Ciutat Vella,Sant Pere - Santa Caterina i la Ribera,good condition,Flat,3,134,Yes,exterior, floor 1,880000
Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,good condition,Duplex,2,91,No,exterior,ground floor,360000
Sant Martí,la Verneda i la Pau,good condition,Flat,3,92,Yes,exterior, floor 4,210000
Eixample,la Dreta de l'Eixample,good condition,Flat,5,197,Yes,exterior, floor 3,2500000
Ciutat Vella,Sant Pere - Santa Caterina i la Ribera,good condition,Flat,1,72,No,exterior, floor 1,275000
Sant Martí,el Clot,good condition,Flat,3,125,Yes,exterior, floor 3,498000
Sant Martí,el Clot,good condition,Flat,3,81,Yes,exterior, floor 2,217000
Horta-Guinardó,el Guinardó,good condition,Flat,4,105,Yes,exterior,ground floor,320000
Sant Martí,la Verneda i la Pau,good condition,Flat,1,70,Yes,exterior, floor 1,180000
Sants-Montjuïc,el Poble Sec - AEI Parc de Montjuïc,good condition,Flat,2,48,No,exterior, floor 1,250000
Sants-Montjuïc,el Poble Sec - AEI Parc de Montjuïc,good condition,Flat,2,48,No,exterior, floor 4,250000
Les Corts,les Corts,good condition,Penthouse,2,68,Yes,exterior, floor 8,340000
Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,good condition,Flat,3,81,Yes,exterior, floor 2,550000
Eixample,la Dreta de l'Eixample,good condition,Flat,2,165,Yes,interior, floor 5,1290000
Eixample,l'Antiga Esquerra de l'Eixample,good condition,Flat,4,95,Yes,exterior, floor 2,390000
Horta-Guinardó,la Teixonera,good condition,Flat,3,61,No,exterior, floor 2,125000
Sants-Montjuïc,la Font de la Guatlla,good condition,Flat,1,53,Yes,interior,mezzanine,115000
Eixample,la Dreta de l'Eixample,good condition,Penthouse,3,102,Yes,exterior, floor 9,675000
Sant Martí,el Besòs i el Maresme,good condition,Flat,3,97,Yes,exterior, floor 7,359000
Eixample,la Nova Esquerra de l'Eixample,good condition,Flat,3,152,Yes,exterior, floor 1,675000
Les Corts,Pedralbes,good condition,Penthouse,4,338,Yes,exterior, floor 2,2250000
Eixample,la Nova Esquerra de l'Eixample,good condition,Flat,4,170,Yes,exterior, floor 8,795000
Eixample,el Fort Pienc,good condition,Flat,2,106,Yes,exterior,mezzanine,400000
Eixample,el Fort Pienc,good condition,Flat,3,100,Yes,exterior, floor 2,369000
Eixample,la Dreta de l'Eixample,good condition,Flat,3,172,Yes,exterior,mezzanine,1295000
Eixample,la Dreta de l'Eixample,good condition,Flat,3,136,Yes,exterior, floor 3,1150000
Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,good condition,Penthouse,3,188,Yes,exterior, floor 21,2500000
Ciutat Vella,el Raval,good condition,Flat,4,200,Yes,exterior, floor 4,1250000
Eixample,la Nova Esquerra de l'Eixample,good condition,Flat,3,91,Yes,exterior, floor 9,538000
Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,good condition,Flat,3,145,Yes,exterior, floor 10,1300000
Eixample,la Dreta de l'Eixample,good condition,Flat,3,169,Yes,exterior,mezzanine,995000
Eixample,l'Antiga Esquerra de l'Eixample,good condition,Flat,2,91,Yes,exterior, floor 3,630000
Ciutat Vella,el Barri Gòtic,good condition,Flat,3,198,Yes,exterior, floor 4,1600000
Eixample,la Nova Esquerra de l'Eixample,good condition,Flat,1,82,Yes,exterior, floor 1,260000
Gràcia,la Vila de Gràcia,good condition,Flat,4,191,Yes,exterior, floor 5,2300000
Gràcia,la Vila de Gràcia,good condition,Flat,4,109,Yes,exterior, floor 1,529000
Sant Martí,Provençals del Poblenou,good condition,Flat,2,72,Yes,exterior, floor 4,395000
Eixample,la Dreta de l'Eixample,good condition,Flat,4,145,Yes,exterior, floor 6,760000
Eixample,la Dreta de l'Eixample,good condition,Flat,2,74,Yes,exterior, floor 1,495000
Ciutat Vella,el Barri Gòtic,good condition,Flat,2,134,Yes,exterior,ground floor,449000
Eixample,la Nova Esquerra de l'Eixample,good condition,Flat,3,189,Yes,exterior, floor 5,930000
Sarrià-Sant Gervasi,Sant Gervasi - Galvany,good condition,Flat,3,139,Yes,exterior, floor 2,1150000
Eixample,la Nova Esquerra de l'Eixample,good condition,Flat,2,57,No,exterior, floor 2,345000
Eixample,l'Antiga Esquerra de l'Eixample,good condition,Flat,3,106,Yes,exterior, floor 1,699000
Eixample,la Sagrada Família,good condition,Flat,5,198,Yes,exterior, floor 6,790000
Sarrià-Sant Gervasi,Sant Gervasi - Galvany,good condition,Flat,3,120,Yes,exterior, floor 5,649999
Eixample,la Dreta de l'Eixample,good condition,Flat,5,197,Yes,exterior,mezzanine,990000
Eixample,la Sagrada Família,good condition,Flat,3,70,Yes,exterior, floor 4,289000
Eixample,la Sagrada Família,good condition,Flat,3,83,Yes,exterior, floor 2,330000
Sarrià-Sant Gervasi,el Putxet i el Farró,good condition,Flat,3,92,Yes,exterior, floor 3,399000
Horta-Guinardó,el Guinardó,good condition,Flat,2,75,Yes,exterior,ground floor,215000
Sant Martí,Provençals del Poblenou,good condition,Flat,2,100,Yes,exterior, floor 3,499900
Eixample,la Nova Esquerra de l'Eixample,good condition,Flat,4,120,Yes,exterior, floor 4,545000
Sant Martí,el Besòs i el Maresme,good condition,Flat,5,201,Yes,exterior, floor 14,860000
Sant Andreu,el Bon Pastor,good condition,Flat,3,78,No,exterior, floor 2,178000
Horta-Guinardó,Horta,good condition,Flat,3,53,Yes,exterior, floor 1,185000
Horta-Guinardó,el Guinardó,good condition,Flat,2,71,Yes,exterior, floor 3,260000
Eixample,el Fort Pienc,good condition,Flat,3,100,Yes,exterior, floor 3,469000
Sant Andreu,la Sagrera,good condition,Flat,3,70,Yes,exterior, floor 2,256000
Sants-Montjuïc,Sants,good condition,House,4,420,No,exterior,Multiple,1450000
Sant Andreu,el Bon Pastor,good condition,Flat,2,62,No,exterior, floor 2,129000
Ciutat Vella,Sant Pere - Santa Caterina i la Ribera,good condition,Flat,3,72,Yes,exterior, floor 1,335000
Sants-Montjuïc,la Bordeta,good condition,Flat,4,103,Yes,exterior, floor 5,422000
Sants-Montjuïc,Sants,good condition,Flat,3,107,Yes,exterior,mezzanine,399000
Ciutat Vella,Sant Pere - Santa Caterina i la Ribera,good condition,Flat,1,63,No,exterior, floor 1,285000
Eixample,el Fort Pienc,good condition,Flat,4,103,Yes,exterior,mezzanine,369000
Sant Andreu,Navas,good condition,Penthouse,3,67,Yes,exterior, floor 6,240000
Sant Martí,el Poblenou,good condition,Flat,3,92,Yes,exterior, floor 2,359000
Sant Martí,el Besòs i el Maresme,good condition,Flat,5,206,Yes,exterior, floor 14,874800
Sarrià-Sant Gervasi,Sant Gervasi - Galvany,good condition,Flat,4,214,Yes,exterior, floor 3,1750000
Eixample,la Nova Esquerra de l'Eixample,good condition,Flat,1,58,Yes,interior, floor 2,145000
Les Corts,les Corts,good condition,Flat,4,96,Yes,exterior, floor 4,385000
Horta-Guinardó,el Baix Guinardó,good condition,Flat,2,69,Yes,exterior, floor 2,270000
Sant Martí,el Clot,good condition,Flat,3,94,Yes,exterior, floor 1,295000
Sant Martí,la Verneda i la Pau,good condition,Flat,4,92,Yes,exterior,mezzanine,210000
Eixample,l'Antiga Esquerra de l'Eixample,good condition,Flat,3,105,Yes,interior, floor 7,499000
Gràcia,la Vila de Gràcia,good condition,Flat,3,76,Yes,exterior, floor 5,295000
Sarrià-Sant Gervasi,el Putxet i el Farró,good condition,Flat,4,140,Yes,exterior, floor 7,670000
Eixample,la Sagrada Família,good condition,Flat,4,93,Yes,exterior, floor 6,345000
Eixample,la Nova Esquerra de l'Eixample,good condition,Flat,3,70,Yes,exterior, floor 1,280000
Horta-Guinardó,Horta,good condition,Flat,3,65,Yes,exterior,mezzanine,199000
Ciutat Vella,el Barri Gòtic,good condition,Flat,3,78,No,exterior, floor 4,266000
Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,good condition,Flat,2,80,Yes,exterior, floor 11,560000
Horta-Guinardó,el Baix Guinardó,good condition,Flat,3,88,Yes,exterior, floor 1,230000
Eixample,l'Antiga Esquerra de l'Eixample,good condition,Flat,3,128,Yes,exterior, floor 6,850000
Horta-Guinardó,el Guinardó,good condition,Flat,2,85,No,exterior, floor 1,210000
Les Corts,la Maternitat i Sant Ramon,good condition,Flat,4,86,Yes,exterior, floor 8,420000
Eixample,la Sagrada Família,good condition,Flat,3,115,Yes,exterior, floor 1,995000
Sants-Montjuïc,Hostafrancs,good condition,Flat,3,75,Yes,interior, floor 2,215000
Nou Barris,Porta,good condition,Flat,3,68,Yes,exterior, floor 6,200000
Les Corts,les Corts,good condition,Flat,4,95,Yes,exterior, floor 7,570000
Eixample,la Dreta de l'Eixample,good condition,Flat,3,118,Yes,exterior, floor 4,610000
Les Corts,les Corts,good condition,Flat,4,131,Yes,exterior, floor 2,449000
Eixample,la Nova Esquerra de l'Eixample,good condition,Flat,3,140,Yes,exterior, floor 7,675000
Sant Andreu,Navas,good condition,Flat,2,74,No,exterior,mezzanine,200000
Les Corts,les Corts,good condition,Flat,4,100,Yes,exterior, floor 7,560000
Gràcia,la Vila de Gràcia,good condition,Flat,3,107,Yes,exterior, floor 2,500000
Sarrià-Sant Gervasi,Sant Gervasi - Galvany,good condition,Flat,2,101,Yes,exterior, floor 8,800000
Sant Andreu,Sant Andreu,good condition,Flat,3,75,Yes,exterior, floor 5,199000
Sant Andreu,Sant Andreu,good condition,Flat,4,119,Yes,exterior, floor 1,279900
Gràcia,la Vila de Gràcia,good condition,Terraced,4,200,No,exterior,Multiple,770000
Eixample,Sant Antoni,good condition,Flat,4,97,Yes,exterior, floor 1,375000
Ciutat Vella,Sant Pere - Santa Caterina i la Ribera,good condition,Flat,3,145,No,exterior, floor 3,450000
Eixample,Sant Antoni,good condition,Flat,2,86,Yes,exterior, floor 1,420000
Ciutat Vella,la Barceloneta,good condition,Flat,3,89,Yes,exterior, floor 2,450000
Sarrià-Sant Gervasi,Sant Gervasi - Galvany,good condition,Flat,3,120,Yes,interior, floor 1,660000
Ciutat Vella,el Raval,good condition,Flat,1,29,No,exterior, floor 1,119000
Ciutat Vella,el Raval,good condition,Flat,3,67,Yes,exterior, floor 5,230000
Sarrià-Sant Gervasi,Sarrià,good condition,Flat,3,85,Yes,exterior, floor 1,445000
Horta-Guinardó,la Font d'en Fargues,good condition,Flat,2,58,Yes,exterior, floor 1,284000
Sants-Montjuïc,el Poble Sec - AEI Parc de Montjuïc,good condition,Flat,3,69,Yes,exterior,ground floor,310000
Sant Andreu,el Congrés i els Indians,good condition,Flat,3,69,No,exterior, floor 1,259000
Sants-Montjuïc,la Font de la Guatlla,good condition,Flat,3,62,Yes,exterior, floor 5,215000
Sant Martí,Provençals del Poblenou,good condition,Flat,3,56,No,exterior, floor 2,199000
Eixample,la Nova Esquerra de l'Eixample,good condition,Flat,1,53,Yes,exterior, floor 5,260000
Gràcia,el Camp d'en Grassot i Gràcia Nova,good condition,Semi-detached,3,220,No,exterior,Multiple,950000
Sants-Montjuïc,el Poble Sec - AEI Parc de Montjuïc,good condition,Flat,4,112,Yes,exterior, floor 1,379000
Ciutat Vella,el Raval,good condition,Flat,4,143,No,exterior, floor 2,410000
Les Corts,les Corts,good condition,Flat,2,95,Yes,exterior, floor 1,530500
Les Corts,les Corts,good condition,Flat,2,100,Yes,exterior, floor 4,630000
Les Corts,les Corts,good condition,Flat,2,102,Yes,exterior, floor 1,550000
Gràcia,la Vila de Gràcia,good condition,Flat,2,88,Yes,exterior, floor 2,646000
Ciutat Vella,el Raval,good condition,Flat,3,153,No,exterior, floor 1,570000
Les Corts,Pedralbes,good condition,Flat,4,215,Yes,exterior, floor 7,1050000
Gràcia,la Vila de Gràcia,good condition,Flat,2,88,No,exterior, floor 2,440000
Sarrià-Sant Gervasi,el Putxet i el Farró,good condition,House,3,220,No,exterior,Multiple,890000
Eixample,el Fort Pienc,good condition,Flat,1,46,Yes,exterior, floor 3,297000
Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,good condition,Flat,3,234,Yes,exterior,ground floor,1100000
Sants-Montjuïc,el Poble Sec - AEI Parc de Montjuïc,good condition,Flat,2,50,Yes,exterior,mezzanine,290000
Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,good condition,Flat,4,149,Yes,exterior, floor 6,960000
Ciutat Vella,el Barri Gòtic,good condition,Flat,3,86,No,exterior, floor 2,359000
Ciutat Vella,el Raval,good condition,Flat,2,81,No,exterior, floor 2,440000
Sarrià-Sant Gervasi,Sant Gervasi - Galvany,good condition,Flat,4,280,Yes,exterior,ground floor,2750000
Ciutat Vella,el Barri Gòtic,good condition,Flat,2,219,Yes,exterior, floor 1,1280000
Sarrià-Sant Gervasi,el Putxet i el Farró,good condition,House,4,323,No,exterior,Multiple,1890000
Sant Martí,el Poblenou,good condition,House,3,136,No,exterior,Multiple,890000
Ciutat Vella,el Barri Gòtic,good condition,Flat,2,103,Yes,exterior, floor 1,680000
Gràcia,la Vila de Gràcia,good condition,Flat,4,120,No,interior, floor 1,499000
Eixample,la Nova Esquerra de l'Eixample,good condition,Flat,2,91,Yes,exterior, floor 1,375000
Sant Martí,el Poblenou,good condition,Flat,1,56,Yes,exterior, floor 2,432000
Sant Martí,Provençals del Poblenou,good condition,Flat,2,58,Yes,exterior, floor 2,435000
Sarrià-Sant Gervasi,Vallvidrera - el Tibidabo i les Planes,good condition,House,6,546,No,exterior,Multiple,1750000
Ciutat Vella,Sant Pere - Santa Caterina i la Ribera,good condition,Flat,2,318,Yes,exterior, floor 4,2500000
Sarrià-Sant Gervasi,les Tres Torres,good condition,House,3,265,No,exterior,Multiple,2750000
Sarrià-Sant Gervasi,Vallvidrera - el Tibidabo i les Planes,good condition,House,6,380,No,exterior,Multiple,1850000
Sarrià-Sant Gervasi,Sarrià,good condition,House,5,376,No,exterior,Multiple,1150000
Les Corts,Pedralbes,good condition,House,8,750,No,exterior,Multiple,5800000
Sarrià-Sant Gervasi,Sant Gervasi - Galvany,good condition,Flat,4,191,Yes,exterior, floor 1,1175000
Sarrià-Sant Gervasi,Sant Gervasi - Galvany,good condition,Flat,6,300,Yes,exterior, floor 5,1550000
Sants-Montjuïc,la Font de la Guatlla,good condition,Flat,3,106,Yes,exterior, floor 2,417000
Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,good condition,Flat,3,147,Yes,exterior, floor 14,960000
Ciutat Vella,el Raval,good condition,Flat,2,137,No,exterior,ground floor,370000
Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,good condition,Flat,4,256,Yes,exterior,ground floor,1295000
Les Corts,Pedralbes,good condition,Penthouse,5,598,Yes,exterior, floor 4,2490000
Gràcia,la Vila de Gràcia,good condition,Flat,1,95,Yes,exterior,ground floor,575000
Sants-Montjuïc,Sants,good condition,Flat,2,87,No,exterior,mezzanine,460000
Sants-Montjuïc,el Poble Sec - AEI Parc de Montjuïc,good condition,Penthouse,2,100,Yes,exterior, floor 2,649000
Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,good condition,House,5,585,No,exterior,Multiple,2350000
Eixample,la Nova Esquerra de l'Eixample,good condition,Flat,3,72,Yes,exterior, floor 6,390000
Sarrià-Sant Gervasi,les Tres Torres,good condition,Penthouse,4,555,Yes,exterior, floor 5,2150000
Sants-Montjuïc,el Poble Sec - AEI Parc de Montjuïc,good condition,Flat,2,50,No,exterior,mezzanine,189000
Sants-Montjuïc,el Poble Sec - AEI Parc de Montjuïc,good condition,Flat,2,62,Yes,exterior,mezzanine,235000
Nou Barris,Vilapicina i la Torre Llobeta,good condition,Flat,2,56,Yes,exterior, floor 1,295800
Horta-Guinardó,Horta,good condition,Terraced,4,197,No,exterior,Multiple,480000
Nou Barris,Vilapicina i la Torre Llobeta,good condition,Flat,3,75,Yes,exterior, floor 6,276000
Gràcia,el Camp d'en Grassot i Gràcia Nova,good condition,Detached,5,582,No,exterior,Multiple,1690000
Sant Andreu,el Congrés i els Indians,good condition,Flat,2,80,Yes,exterior, floor 1,340000
Ciutat Vella,Sant Pere - Santa Caterina i la Ribera,good condition,Flat,3,95,No,exterior, floor 1,345000
Eixample,l'Antiga Esquerra de l'Eixample,good condition,Flat,3,90,Yes,interior, floor 5,350000
Sants-Montjuïc,el Poble Sec - AEI Parc de Montjuïc,good condition,Flat,3,95,Yes,exterior, floor 1,299000
Eixample,la Sagrada Família,good condition,Flat,2,80,Yes,exterior,mezzanine,255000
Les Corts,les Corts,good condition,Flat,3,131,Yes,exterior, floor 3,564900
Sants-Montjuïc,Sants,good condition,Flat,2,87,Yes,exterior, floor 1,315000
Eixample,la Nova Esquerra de l'Eixample,good condition,Penthouse,4,82,Yes,exterior, floor 7,310000
Gràcia,la Vila de Gràcia,good condition,Flat,4,95,Yes,exterior, floor 2,359900
Ciutat Vella,el Raval,good condition,Flat,3,63,Yes,exterior, floor 6,235000
Sant Andreu,Navas,good condition,Flat,4,93,Yes,exterior, floor 2,329000
Eixample,la Dreta de l'Eixample,good condition,Flat,4,117,Yes,exterior, floor 1,280000
Sants-Montjuïc,el Poble Sec - AEI Parc de Montjuïc,good condition,Flat,4,100,Yes,exterior, floor 5,300000
Sants-Montjuïc,la Font de la Guatlla,good condition,Flat,4,93,Yes,exterior, floor 6,335000
Eixample,Sant Antoni,good condition,Flat,3,61,Yes,exterior, floor 4,299000
Horta-Guinardó,la Teixonera,good condition,Flat,3,90,No,exterior, floor 2,230000
Horta-Guinardó,Horta,good condition,Flat,3,91,Yes,exterior, floor 1,415000
Sants-Montjuïc,Sants - Badal,good condition,Flat,1,41,No,exterior,ground floor,215000
Sarrià-Sant Gervasi,Sant Gervasi - Galvany,good condition,Flat,3,71,Yes,exterior, floor 3,359000
Sants-Montjuïc,Sants,good condition,Flat,1,47,No,exterior,mezzanine,280000
Eixample,l'Antiga Esquerra de l'Eixample,good condition,Flat,2,91,Yes,exterior, floor 1,690000
Gràcia,la Vila de Gràcia,good condition,Flat,4,130,Yes,exterior, floor 3,575000
Sant Martí,el Clot,good condition,Flat,3,82,Yes,exterior, floor 3,239900
Ciutat Vella,el Barri Gòtic,good condition,Flat,2,55,No,exterior, floor 3,225000
Eixample,Sant Antoni,good condition,Flat,2,81,Yes,exterior, floor 1,420000
Eixample,la Dreta de l'Eixample,good condition,Flat,2,69,Yes,exterior, floor 2,379000
Sant Martí,el Camp de l'Arpa del Clot,good condition,Penthouse,3,130,Yes,exterior, floor 8,435000
Eixample,l'Antiga Esquerra de l'Eixample,good condition,Flat,5,131,Yes,exterior, floor 6,550000
Les Corts,les Corts,good condition,Penthouse,4,139,Yes,exterior, floor 4,840000
Eixample,la Sagrada Família,good condition,Flat,3,73,Yes,exterior, floor 5,300000
Sants-Montjuïc,la Marina de Port,good condition,Flat,3,90,Yes,exterior, floor 6,199000
Horta-Guinardó,Horta,good condition,Flat,4,69,Yes,exterior, floor 3,198000
Sant Andreu,Sant Andreu,good condition,Flat,2,70,Yes,exterior, floor 3,285000
Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,good condition,Flat,3,250,Yes,exterior,ground floor,1100000
Sant Martí,el Parc i la Llacuna del Poblenou,good condition,Flat,3,131,Yes,exterior, floor 2,260000
Gràcia,la Vila de Gràcia,good condition,Flat,3,107,Yes,exterior, floor 2,495000
Horta-Guinardó,el Guinardó,good condition,Flat,3,46,No,exterior, floor 2,195000
Sarrià-Sant Gervasi,Sant Gervasi - Galvany,good condition,Flat,4,176,Yes,exterior, floor 4,740000
Sant Martí,el Clot,good condition,Duplex,3,135,Yes,exterior,ground floor,575000
Eixample,la Nova Esquerra de l'Eixample,good condition,Flat,3,72,Yes,interior, floor 6,369000
Gràcia,la Vila de Gràcia,good condition,Flat,3,70,No,exterior, floor 2,400000
Ciutat Vella,el Barri Gòtic,good condition,Duplex,4,221,Yes,exterior, floor 6,1690000
Sant Martí,el Camp de l'Arpa del Clot,good condition,Terraced,3,72,No,exterior,Multiple,295000
Sants-Montjuïc,el Poble Sec - AEI Parc de Montjuïc,good condition,Flat,4,114,Yes,exterior, floor 5,410000
Sarrià-Sant Gervasi,Sant Gervasi - Galvany,good condition,Flat,5,251,Yes,exterior, floor 2,1630000
Eixample,la Sagrada Família,good condition,Duplex,3,121,Yes,exterior,ground floor,595000
Ciutat Vella,el Raval,good condition,Flat,2,55,No,exterior, floor 3,160000
Ciutat Vella,el Barri Gòtic,good condition,Flat,4,133,Yes,exterior, floor 5,495000
Sant Martí,el Poblenou,good condition,Flat,2,75,Yes,exterior, floor 1,398000
Ciutat Vella,Sant Pere - Santa Caterina i la Ribera,good condition,Flat,1,90,Yes,exterior, floor 1,800000
Sant Martí,el Besòs i el Maresme,good condition,Flat,2,66,Yes,exterior, floor 4,169000
Sant Martí,Provençals del Poblenou,good condition,Duplex,3,105,Yes,exterior,ground floor,695000
Eixample,la Nova Esquerra de l'Eixample,good condition,Flat,4,96,Yes,exterior, floor 2,350000
Sarrià-Sant Gervasi,Sant Gervasi - Galvany,good condition,Penthouse,4,290,Yes,exterior, floor 8,1690000
Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,good condition,Flat,5,264,Yes,exterior,ground floor,3500000
Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,good condition,Flat,3,82,Yes,exterior, floor 2,550000
Eixample,la Dreta de l'Eixample,good condition,Flat,5,183,Yes,exterior, floor 4,699000
Eixample,la Nova Esquerra de l'Eixample,good condition,Flat,3,91,Yes,exterior, floor 1,375000
Eixample,l'Antiga Esquerra de l'Eixample,good condition,Flat,1,85,Yes,exterior, floor 2,329000
Sarrià-Sant Gervasi,Sant Gervasi - Galvany,good condition,Flat,2,198,Yes,exterior,mezzanine,1280000
Ciutat Vella,la Barceloneta,good condition,Flat,3,83,No,exterior, floor 2,395000
Les Corts,Pedralbes,good condition,Flat,5,314,Yes,exterior, floor 1,2400000
Sant Martí,el Poblenou,good condition,Flat,3,115,Yes,exterior, floor 25,1090000
Les Corts,Pedralbes,good condition,Flat,4,218,Yes,exterior, floor 2,2250000
Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,good condition,Flat,3,130,Yes,exterior, floor 1,1290000
Sants-Montjuïc,Hostafrancs,good condition,Flat,4,80,Yes,exterior, floor 1,280000
Les Corts,Pedralbes,good condition,House,6,686,No,exterior,Multiple,4600000
Ciutat Vella,el Barri Gòtic,good condition,Flat,2,118,Yes,exterior,mezzanine,495000
Gràcia,el Camp d'en Grassot i Gràcia Nova,good condition,House,3,582,No,exterior,Multiple,1690000
Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,good condition,House,5,374,No,exterior,Multiple,1950000
Sarrià-Sant Gervasi,Sant Gervasi - Galvany,good condition,Flat,5,281,Yes,exterior, floor 2,1500000
